CodeExcludeTab_ForceExclude_Hint,Here you can remove unwanted code that gets in your playable.,"Здесь можно удалить ненужный/неиспользуемый код, который попадает в плеебл.",您可以在这里选择排除构建中不需要的脚本。
StubberTab_ThirdPartySdks_Hint,Stubber allows you to automatically stub libraries that are not essential of your playable but are included in your Unity project.,"Стаббер позволяет автоматически стабить библиотеки, которые необязательны для плеебла, но включены в проект.",存根器允许您自动将包含在 Unity 项目中但不需要使用的库进行存根。
StubberTab_CustomSdkName_Hint,Library to stub.,"Библиотека, которую нужно застабить.",需要存根的库。
StubberTab_CustomSdkNamespace_Hint,"Leave it empty to stub all namespace, or use comma to separate names
example: namespace.Name1., namespace.Name2, ...","Оставьте пустым, чтобы застабить все пространство имен или используйте запятую, чтобы разделить имена.Например: namespace.Name1., namespace.Name2, ...","留空以将所有的命名空间存根，或使用逗号隔开
例: namespace.Name1., namespace.Name2, ..."
StubberTab_CustomSdkClasses_Hint,"Leave it empty to stub all classes, or use comma to separate names
example: className1, className2, ...","Оставьте пустым, чтобы застабить все классы или используйте запятую, чтобы разделить имена классов. Например: className1, className2, ...","留空以将所有的类存根，或使用逗号隔开
例: className1, className2, ..."
ExternalSourceTab_CsSources_Hint,At times you may wish to include additional C# source code for example from a shared or centralised repository.,"В некоторых случаях бывает необходимо включить дополнительный код на C#, например, из общих библиотек или централизованых репозиториев.",有时您可能希望项目中包括其他 C# 源代码，例如来自共享或集中存储库的代码。
ExternalSourceTab_ExternalJs_Hint,If you include External JavaScript libraries into your project you can use Bridge.Script.Write() to execute their code.,"Если в проект включены внешние JavaScript библиотеки, то их код можно выполнить используя Bridge.Script.Write().",如果您将外部 JavaScript 库包含到您的项目中，您可以使用 Bridge.Script.Write() 来执行它们的代码。
RuntimeAnalysisTab_Title_Hint,Runtime Analysis is a feature of Unity Playworks Plugin that excludes unused classes methods or shaders from your playable build in order to save space whilst also eliminating the time needed to manually exclude these yourself. Runtime Analysis also excludes modules that that are not used in the project. You will need to playthrough your game enough times that you go through most possible interactions.,"Runtime Analysis - это функция Unity Playworks Plugin, которая исключает неиспользуемые классы, методы и шейдеры из плеебла, чтобы снизить размер билда, также убирая необходимость делать это вручную. Runtime Analysis также исключает неиспользуемые в проекте модули. Необходимо проиграть плеебл несколько раз, чтобы исполнить все задуманные сценарии.",Runtime Analysis 是 Unity Playworks Plugin 的一项功能，它可以从您的可玩广告中排除掉未使用的类/函数或着色器，以节省空间，同时也消除了您自己手动排除这些所需的时间。Runtime Analysis 还可以排除项目中未使用的模块。您需要尽可能多地测试游戏，以确保所有需要的类/函数/着色器/模块被检测到。
RuntimeAnalysisTab_PauseCode_Hint,By activating this checkbox you will prevent Runtime Analysis from removing any code regardless of the content of excluded code or excluded modules.,"Включая этот флаг, Вы предотвратите удаление любого кода системой Runtime Analysis, независимо от содержимого исключенного кода или исключенных модулей.",勾选此选项将阻止 Runtime Analysis 排除任何代码，包括以下手动勾选的类和模块。
RuntimeAnalysisTab_ExcludedModules_Hint,In this section you can specify if your project does not use any of the following modules it will decrease playable size. In most cases no need to do it manually because Runtime Analysis does it automatically.,"В этой секции можно указать, использует ли проект перечисленные модули и уменьшить размер билда. В большинстве случаев нет необходимости делать это вручную, так как Runtime Analysis сделает это автоматически.",您可以手动勾选不需要的模块以减小构建的大小。大多数情况下 Runtime Analysis 会自动检测到不需要的模块。
RuntimeAnalysisTab_PauseShaders_Hint,By activating this checkbox you will prevent Runtime Analysis from removing any shader.,"Включая этот флаг, Вы предотвратите удаление любых шейдеров системой Runtime Analysis.",勾选此选项将阻止 Runtime Analysis 排除任何着色器。
ProjectDiagnostics_OptimiseExportWithCaching_Hint,"If this setting is active Unity Playworks Plugin won't rebuild whole project if possible but detect parts which has changes and rebuild only them, like if only code was changed - only code rebuilds. It can significantly decrease playable build time.","Если этот флаг включен, то Unity Playworks Plugin не будет пересобирать весь проект, если возможно, а будет определять, какие части были изменены и пересобирать только их, например, если был изменен только код - только код будет пересобран. Это может значительно снизить время сборки билда.",如果勾选此选项，Unity Playworks Plugin 将不会重新构建整个项目，而是只更新修改过的代码或者素材。它能够显著缩短构建的时间。
Basic_ProjectSettings_BakeReferenceAmbientProbe_Hint,"If you are using Built-in Render Pipeline and your playable looks visually different, you might want to try enabling Bake Reference Ambient Probe option. During the export stage, Unity Playworks Plugin bakes your scenes with certain settings and grabs ambient probe data. It’s required for unity_indirectSpecular uniform calculation which represents values that needed for correct Environment Reflections in your scene. As well we depend on ambient probe values Unity calculates for us during export stage, which means if you change ambient probe in any possible way (runtime Skybox update or Lighting/Intensity Multiplier change) your scene might look different.","Если используется Built-in Render Pipeline и Ваш плеебл выглядит визуально иначе, возможно Вы хотите попробовать включить опцию Bake Reference Ambient Probe. Во время стадии экспорта Unity Playworks Plugin запечет сцены с определенными настройками и заберет данные Ambient Probe. Это необходимо для вычисления unity_indirectSpecular юниформа, который хранит значения, которые необходимы для корректирования Environment Reflections в сцене. Также мы зависим от значений Ambient Probes, которые вычисляет Unity во время стадии экспорта, это значит, что при изменении Ambient Probes любым способом (изменение Skybox во время выполнения или изменение множителя интенсивности света) - сцена может выглядеть иначе.",如果您正在使用 Built-in Render Pipeline 并且可玩广告渲染结果有较大差异，您可以尝试启用 Bake Reference Ambient Probe 选项。在导出的过程中，Unity Playworks Plugin 会基于环境数据以及项目光照设定重新烘焙场景。它对于 unity_indirectSpecular uniform 正确计算场景中环境反射所需的值是必要的，同时我们还会使用 Unity 在导出阶段为我们计算的环境探针值。如果您以任何可方式更改环境探针(运行时更新天空盒或光照/强度)，您的场景可能看起来会有所不同。
Basic_ProjectSettings_UnsupportedLunaCompilerV2_Hint,"Compiles C# 9.0 / 8.0 and downgrades the C# version of code. Then, the pipeline compiles the lowered C# version code and converts it into JavaScript. Not supported for unity 2020.1 and bellow.",Компилирует C# 8.0/9.0 и понижает версию C# для кода. Далее компилирует код с пониженной версией C# и конвертирует его в JavaScript. Не поддерживается в Unity 2020.1 и ниже.,编译 C# 9.0 / 8.0 并且降低代码的 C# 版本。之后，管线将编译低版本的 C# 代码并转译到 JavaScript。不支持 Unity 2020.1 及更早版本。
Basic_ProjectSettings_EnableLunaCompilerV2_Hint,"Compiles C# 9.0 / 8.0 and downgrades the C# version of code. Then, the pipeline compiles the lowered C# version code and converts it into JavaScript. Build time may be slightly increased.",Компилирует C# 8.0/9.0 и понижает версию C# для кода. Далее компилирует код с пониженной версией C# и конвертирует его в JavaScript. Может незначительно увеличить время сборки билда.,编译 C# 9.0 / 8.0 并且降低代码的 C# 版本。之后，管线将编译低版本的 C# 代码并转译到 JavaScript。构建时间会有所增加。
Account_CopyToken_Hint,"Useful for some console commands which you may need for automatization process, like: './jake project:deploy USER_EMAIL=your.email@domain.com USER_TOKEN=%yourToken% TARGET_PLATFORM=playground' (Runs the full project build & uploads the build directly to Creative Library).","Может быть полезно для некоторых консольных команд, которые могут быть использованы для автоматизации процессов, например, './jake project:deploy USER_EMAIL=your.email@domain.com USER_TOKEN=%yourToken% TARGET_PLATFORM=playground' (запускает полную сборку проекта и загружает билд прямо в Creative Library).",对于自动化过程可能需要的一些控制台命令很有用，例如: './jake project:deploy USER_EMAIL=your.email@domain.com USER_TOKEN=%yourToken% TARGET_PLATFORM=playground' (构建并上传到 Creative Library)
Basic_ProjectSettings_OptimiseSize_Hint,Fallbacks Unity Playworks Plugin assets settings to optimal (default).,Сбрасывает настройки Unity Playworks Plugin к настройкам по умолчанию.,重设 Unity Playworks Plugin 资源设定到最优 (默认)
CodeSection_OpenSolution_Hint,"Opens your code compiled with the Playable engine instead of Unity. This can be useful for identifying any features you’ve used that are unsupported by the Luna API, allowing you to adjust the playable logic accordingly","Открывает код, скомпилированный с библиотекой Unity Playworks Plugin, вместо библиотеки Unity. Может быть полезно, чтобы увидеть, какие API используются в проекте и не поддерживаются в Luna API, чтобы исправить ошибки плеебла.",打开使用 Playable 引擎而不是 Unity 编译的代码。可能有助于查看所有被您使用但不被 Luna API 支持的内容，以据此更正可玩广告的逻辑。
CodeSection_CompileSolution_Hint,Compiling your code along with Playable engine instead of unity. May be useful to see all used by you but unsupported by Luna API to correct playable logic depending on that.,"Компилирует с библиотекой Unity Playworks Plugin, вместо библиотеки Unity. Может быть полезно, чтобы увидеть, какие API используются в проекте и не поддерживаются в Luna API, чтобы исправить ошибки плеебла.",编译基于 Playable 引擎而不是 Unity 的代码。可能有助于查看所有被您使用但不被 Luna API 支持的内容，以据此更正可玩广告的逻辑。
Basic_ProjectSettings_RealtimeShadows_Hint,"Shadows may negatively impact performance on some devices, or they may not work at all. This could be related to the device specific limitations (e.g. GPU memory). In order to resolve this issue, try lowering the shadow settings, and ensure that Unity's WebGL1 build on the device is able to render shadows.","Тени могут негативно влиять на производительность на некоторых девайсах или не работать вообще. Это может быть связано с ограничениями конкретного девайса (такими, как видеопамять). Чтобы решить эту проблему попробуйте снизить настройки теней и убедиться, что в билде Unity WebGL девайс также способен отрисовывать тени.",阴影可能会对某些设备的性能产生负面影响，或者它们可能根本无法工作。这可能与设备特定限制有关(例如 GPU 内存)。为了解决这个问题，请尝试降低阴影设置，并确保在设备上 Unity WebGL1 的构建能够渲染阴影。
Basic_ProjectSettings_DynamicBatching_Hint,Dynamic Batching is an optimization technique used in rendering engines to reduce overhead on the draw calls issuing process by merging several draw calls into single one.,"Dynamic Batching это техника оптимизации, используемая в игровых движках, которая уменьшает количество вызовов отрисовки, путем объединения нескольких вызовов в один.",Dynamic Batching 是渲染引擎中使用的一种优化技术，通过将多个绘图调用合并为一个来减少资源开销。
EditorTab_AdNetworkSettings_GlobalSettingsTitle_Hint,General settings for all the platforms.,Общие настройки для всех платформ.,所有广告网络的通用设定
PlaygroundSection_Header_Hint,"Creative Library allows you to manage, create, edit and export unlimited iterations of your playables for all the major ad networks. Change and test multiple variants such as colours, speeds, game mechanics and messaging, all from within Creative Library using the Playable Editor attributes.","Creative Library позволяет управлять, создавать, редактировать и экспортировать неограниченное количество итераций плееблов во все главные рекламные сети. Изменяйте и тестируйте различные переменные, такие как цвет, скорость, игровые механики и тексты - все это доступно в Creative Library с использованием Playable Editor атрибутов.",Creative Library 允许您管理，创建，编辑以及导出各种不同版本的可玩广告到所有广告网络。更改并且测试各种版本，例如颜色，速度，游戏机制以及信息，这些都可以在 Creative Library 的 Playable Editor 中进行操作。
HealthCheck_Title_Hint,"PHC is a short, but important checklist which scans the project for readiness of the playable ad. Because playable ads have many factors which decide an ad performs well on the ad network, such as runtime performance (FPS), or even certain API’s that have to be called, else, the playable ad will be rejected by the ad network.","PHC - это краткий, но важный список, который проверяет готовность проекта. Так как рекламные сети имеют множество факторов для оценки того, насколько плеебл будет успешным в рекламной сети (например, производительность или даже наличие обязательных вызовов API), то плеебл может быть отклонен рекламной сетью.",PHC 提供了一个简短但重要的检查清单，用于扫描项目以了解可玩广告的准备情况。可玩广告有很多因素会影响在广告网络上的表现，例如运行时的性能（FPS），甚至必须调用某些 API，否则，可玩广告将无法在广告网络过审。
ProjectDiagnostics_Title_Hint,Project Diagnostics aims to streamline the debugging experience with Unity Playworks Plugin: After building the diagnostics window will display any pertinent warning/error messages based on that build's outcome.,"Project Diagnostics стремится упростить процесс поиска ошибок при работе с Unity Playworks Plugin: после сборки билда окно диагностики отобразит любые уведомления/ошибки, найденные в процессе сборки.",Project Diagnostics 旨在简化 Unity Playworks Plugin 的调试体验：构建项目后，诊断窗口将根据该构建的结果显示任何相关的警告/错误消息。
SizeBreakdownSection_Header_Hint,"To get a detailed breakdown of what is taking up space in yourUnity Playworks Plugin builds, hit 'Build & Estimate size'. After rebuilding your project, Unity Playworks Plugin will do provide you with a breakdown of each asset size presented grouped by asset type.","Чтобы получить детальный отчет, что именно занимает пространство в билде плеебла, нажмите ""Оценить размер"". После сборки проекта Unity Playworks Plugin предоставит отчет о том, сколько пространства занимает каждый ассет, сгруппировав по типу ассета.",要详细了解 Unity Playworks Plugin 构建中各个资源占用空间的情况，请点击“构建和估算大小”。重建项目后，Unity Playworks Plugin 会为您列出每个文件的大小(按资源类型分组)。
PlaygroundSection_Applications_Hint,All the application available to you in Creative Library. Go to the Creative Library for creating new if needed.,"Все приложения доступные Вам в Creative Library. Перейдите в Creative Library, чтобы создать новое.",所有 Creative Library 中可用的应用 。如果需要，可以在 Creative Library 新建应用。
PlaygroundSection_Creatives_Hint,Diffrent realizations of playables for one same application. Useful when you want to experiment with different concepts of application ads.,"Различные варианты плееблов внутри одного приложения. Полезно, когда Вы хотите поэкспериментировать с разными концепциями рекламных приложений.",同一个应用下不同版本的可玩广告。对于探索不同的广告创意非常有用。
PlaygroundSection_CreativeName_Hint,"if you want to add a new concept to your application, select the < New Concept > option in the Available Concepts dropdown menu, this will activate the input field and you will be able to give a name to your new concept.","Если Вы хотите добавить новый концепт в Ваше приложение, выберите опцию < Новый концепт > в списке доступных концептов. Это активирует поле для ввода имени для нового концепта.","如果您想要添加新的创意到您的应用中，清选择可选应用下的 <新创意>，并且输入新的名称。
"
,,,
ProjectDiagnostics_UnityVersion_Description,You are using an unsupported Unity version,Вы используете неподдерживаемую Unity версию ,您正在使用不支持的 Unity 版本
"The Unity Playworks Plugin does not export all passes that are used in Unity, and as a result, some indices of shader passes can be changed, so a different shader pass might be used than the one used in Unity during the render process. Please check the settings of {0} (Render Objects) render feature. To avoid this, use LightMode tags or override the material/shader without using an index.","Unity Playworks Plugin does not officially support Unity version: {0}, bugs may occur. Therefore it is recommended to use a supported Unity LTS version for Unity Playworks Plugin: {1}","Unity Playworks Plugin официально не поддерживает Unity версию: {0}, могут возникнуть баги. Поэтому рекомендуется использовать поддерживаемую Unity LTS версию: {1}","Unity Playworks Plugin 没有正式支持 Unity 版本: {0}, 可能会出现错误。所以我们建议与 Unity Playworks Plugin 使用支持的 Unity LTS版本: {1}"
,,,
Popup_AutoFixFail_Title,Fix could not be applied,Исправление не может быть применено,无法应用修复
Popup_AutoFixFail_Description,"An issue occured and the fix could not be applied, try manually fixing","Не удалось применить автоматическое исправление, попробуйте исправить проблему вручную",发生错误，修复无法被应用，请尝试手动修复
Popup_AutoFixFail_Ok,Okay,Окей,好的
,,,
HelpButton_OpenDocumentation,Open documentation,Открыть документацию,打开文档
,,,
ProjectDiagnostics_FixAll,Fix all,Исправить все,修复全部
Popup_FixAllErrors_Title,Fix all Issues?,Исправить все ошибки?,修复全部问题?
Popup_FixAllErrors_Cancel,Cancel,Отмена,取消
Popup_FixAllErrors_Ok,Confirm,Подтвердить,确定
ProjectDiagnostics_AvailableToFix,Available to fix automatically,Автоисправление,可自动修复
,,,
ProjectDiagnostics_LP_EnableShaderRuntimeAnalysis_Description,We recommend running Runtime Analysis to find and remove all unused shader variants,"Мы рекомендуем использовать Runtime Analysis, чтобы найти и убрать все неиспользуемые варианты шейдеров",我们建议使用 运行时分析 来寻找并移除不用的着色器变体
ProjectDiagnostics_LP_EnableShaderRuntimeAnalysis_Details,"You have {0} shaders and {1} shader variants in your scene, this can be detrimental to the loading times and size of your playable.\n\nRuntime Analysis has only found {2} shader variants in use within your playable. Navigate to the Runtime Analysis > Shaders tab to enable shader stripping to help reduce the amount of shaders, and shader variants present in your playable","Имеется {0} шейдеров и {1} шейдер вариантов в сцене, это может негативно повлиять на время загрузки и размер плеебла.\n\nRuntime Analysis нашел только {2} шейдер вариантов, которые используются в плеебле. Перейдите во вкладку Runtime Analysis > Shaders, чтобы включить shader stripping и уменьшить количество шейдеров и шейдер вариантов в плеебле.",您的场景有 {0} 个着色器和 {1} 个着色器变体，这会影响可玩广告的载入时间以及构建大小。\n\nRuntime Analysis 仅检测到 {2} 个着色器遍体被调用。请在 Runtime Analysis > Shaders 面板中启用着色器剥离以减少着色器和着色器变体的数量。
Popup_EnableShaderRuntimeAnalysis_Title,Enable Shader stripping?,Включить Shader stripping?,启用 着色器排除?
Popup_EnableShaderRuntimeAnalysis_Description,This action will change project settings. this can be reverted in the Runtime Analysis section > Shaders tab,Это действие изменит Project Settings. Может быть отменено в секции Runtime Analysis > Shaders,该操作将改变项目设定。您可以在 运行时分析 > 着色器 面板中进行撤销
Popup_EnableShaderRuntimeAnalysis_Ok,Okay,Окей,好的
Popup_EnableShaderRuntimeAnalysis_Cancel,Cancel,Отмена,取消
Popup_EnableShaderRuntimeAnalysis_Docs,Open Documentation,Открыть документацию,打开文档
,,,
Popup_ChangeColourSpace_Fail,Colour space could not be changed,Цветовое пространство не может быть изменено,无法更改色彩空间
Popup_EnableRuntimeAnalysis_Fail,Runtime Analysis could not be enabled,Runtime analysis не может быть включен,无法启用运行时分析
Popup_ChangeTMPVersion_Fail,TMP version could not be changed,Версия TMP не может быть изменена,无法更改 TMP 版本
Popup_EnableAnimationCompression_Fail,Animation compression could not be enabled,Компрессия анимаций не может быть включена,无法启用动画压缩
Popup_EnableMeshCompression_Fail,Mesh compression could not be enabled,Компрессия мешей не может быть включена,无法启用网格压缩
Popup_EnableLunaCompilerV2_Fail,Playable Compiler v2 could not be enabled,Playable Compiler v2 не может быть включен,无法启用 Playable Compiler v2
Popup_EnableShaderRuntimeAnalysis_Fail,Shader Runtime Analysis could not be enabled,Shader Runtime Analysis не может быть включен,无法启用着色器运行时分析
ProjectDiagnostics_LP_PackageNotSupported_Description,Unsupported packages were found,Обнаружены неподдерживаемые пакеты,检测到不支持的插件或包
ProjectDiagnostics_LP_PackageNotSupported_Details,Unity Playworks Plugin doesn't support listed packages: {0}. We recommend you to remove them and workaround their functionality,В настоящий моментUnity Playworks Plugin не поддерживает следующие пакеты: {0}. Рекомендуем отказаться от них и заменить их функциональность,Unity Playworks Plugin 不支持以下插件或包: {0}. 我们建议您删除并另找替代方案
,,,
CodeAnalysis_LP_ReservedKeyword_Description,You are using a Unity Playworks Plugin reserved keyword: {0},Вы используете зарезервированное слово для Unity Playworks Plugin: {0},您正在使用 Unity Playworks Plugin 保留的关键词: {0}
CodeAnalysis_LP_ReservedKeyword_Details,You are using a reserved keyword: {0} for Unity Playworks Plugin. Please change the name of the field/class,Вы используете зарезервированное слово: {0} для Unity Playworks Plugin. Измените имя поля/класса,您正在使用 Unity Playworks Plugin 保留的关键词: {0} 。请更改 域/类 的名称
CodeAnalysis_LP_LunaAPI_Description,You are not using the Luna API: {1}.{0},Вы не используете Luna API: {1}.{0},您没有使用到 Luna API: {1}.{0}
CodeAnalysis_LP_LunaAPI_Details,You are not using the Luna API: {1}.{0}. Some ad networks require these calls. Please add these calls to ensure your playable works on all ad networks. Check documentation for more information.,"Вы не используете Luna API: {1}.{0}. Некоторые рекламные сети требуют эти вызовы. Пожалуйста, добавьте эти вызовы, чтобы гарантировать, что плеебл будет работать во всех рекламных сетях. Изучите документацию, чтобы узнать подробнее.",您没有使用到 Luna API: {1}.{0}. 一些广告网络需要调用它们，请添加这些函数以确保可玩广告可以在所有广告网络上正确运行。查看文档详情。
CodeAnalysis_LP_CustomEventMissing_Description,You are not using any custom events,Вы не используете никаких пользовательских событий,您没有使用任何自定义事件。
CodeAnalysis_LP_CustomEventMissing_Details,You are not using any custom events. It is recommended to use custom events to have a better understanding of the playable,Вы не используете никаких пользовательских событий. Рекомендуется использовать пользовательские осбытия для лучшего понимания плеебла,您没有使用任何自定义事件。 我们建议进行打点来更好地理解可玩广告的用户体验流程。
CodeAnalysis_LP_CustomEventCount_Description,You are only using: {0} custom events.,Вы используете только: {0} пользовательских событий.,您只使用了: {0} 个自定事件。
CodeAnalysis_LP_CustomEventCount_Details,You are only using {0} custom events. It is recommended to use more custom events to have a better understanding of the playable,"Вы используете только {0} пользовательских событий. Рекомендуется использовать больше пользовательских событий, чтобы лучше понимать плеебл.",您只使用了 {0} 个自定义事件。我们建议添加更多的事件来更好地理解可玩广告的用户体验流程。
CodeAnalysis_LP_APINotSupported_Description,You are using an unsupported feature: {0}{1},Вы используете неподдерживаемую фукнциональность: {0}{1},您正在使用不支持的功能: {0}{1}
CodeAnalysis_LP_APINotSupported_Details,You are using a function/component which are currently not supported in Unity Playworks Plugin: {0}{1},"Вы используете функцию/компонент, который сейчас недоступен в Unity Playworks Plugin: {0}{1}",您正在使用 Unity Playworks Plugin 目前不支持的函数/组件: {0}{1}
CodeAnalysis_LP_BaseTypeNotSupported_Description,You are using an unsupported base type: {0},Вы используете неподдерживаемый базовый тип: {0},您正在使用不支持的基类: {0}
CodeAnalysis_LP_BaseTypeNotSupported_Details,You are using an unsupported base type: {0} which is not supported in ad networks,"Вы используете неподдерживаемый базовый тип: {0}, который не поддерживается в рекламных сетях",您正在使用广告网络不支持的基类: {0}
CodeAnalysis_LP_NoLunaPlaygroundFields_Description,You are not using any LunaPlaygroundFields attributes,Вы не используете никаких LunaPlaygroundFields атрибутов,您没有使用任何 LunaPlaygroundFields。
CodeAnalysis_LP_NoLunaPlaygroundFields_Details,"You are not using any LunaPlaygroundFields attributes, it allows you to configure your playable to different concepts to find the best variation, which can drastically improve playable performance on all ad networks","Вы не используете никаких LunaPlaygroundFields атрибутов, это позволит конфигурировать плеебл в разные концепты для поиска лучших вариаций, которые могут значительно поднять эффективность плеебла во всех рекламных сетях.",您没有使用任何 LunaPlaygroundFields，它允许您根据不同的概念来配置您的可玩广告，从而找到最佳的版本。这可以显著提高可玩广告在所有广告网络上的表现。
CodeAnalysis_LP_NotEnoughLunaPlaygroundFields_Description,You are not using the minimum recommended amount of LunaPlaygroundFields attributes,Вы не используете минимальное рекомендованное количество LunaPlaygroundFields атрибутов,您使用的 LunaPlaygroundFields 数量过小
CodeAnalysis_LP_NotEnoughLunaPlaygroundFields_Details,"You are not using the minimum recommended amount of LunaPlaygroundFields attributes, you are using: {0} and we recommend using a minimum of: {1}. It allows you to configure your playable to different concepts to find the best variation, which can drastically improve playable performance on all ad networks","Вы не используете минимальное рекомендованное количество LunaPlaygroundFields атрибутов, вы используете: {0} и мы рекомендуем использовать не менее: {1}. Это позволит конфигурировать плеебл в разные концепты для поиска лучших вариаций, которые могут значительно поднять эффективность плеебла во всех рекламных сетях.",您使用的 LunaPlaygroundFields 数量过小: {0} 我们推荐至少使用: {1}。 它允许您根据不同的概念来配置您的可玩广告，从而找到最佳的版本。这可以显著提高可玩广告在所有广告网络上的表现
CodeAnalysis_LP_JSON_Description,You are using an unsupported JSON feature: {0},Вы используете неподдерживаемую JSON функциональность: {0},您正在使用不支持的 JSON 功能: {0}
CodeAnalysis_LP_JSON_Details,You are using an unsupported JSON feature: {0}. Please use Newtonsoft.JSON instead,Вы используете неподдерживаемую JSON функциональность: {0}. Используйте вместо этого Newtonsoft.JSON,您正在使用不支持的 JSON 功能: {0}。请替换为 Newtonsoft.JSON。
CodeAnalysis_LP_WrongAPI_Description,You are using the wrong API: {0},Вы используете неверный API: {0},您正在使用错误的 API: {0}
CodeAnalysis_LP_WrongAPI_Details,You are using the wrong API: {0}. Which can lead to ad networks rejecting the playable. Please use Luna.Unity.Playable.InstallFullGame() instead,Вы используете неверный API: {0}. что может привести к отклонению плеебла рекламными сетями. Используйте Luna.Unity.Playable.InstallFullGame(),您正在使用错误的 API: {0}， 这将导致可玩广告无法过审。请替换为 Luna.Unity.Playable.InstallFullGame()。
CodeAnalysis_LP_NoGameEndedAPI_Description,You are not using the Game Ended API: {1}.{0},Вы не используете Game Ended API: {1}.{0},You are not using the Game Ended API: {1}.{0}
CodeAnalysis_LP_NoGameEndedAPI_Details,"You are not using the Game Ended API: {1}.{0}. Some ad networks require this call, please add the event to avoid the ad being rejected.","Вы не используете Game Ended API: {1}.{0}. Некоторые рекламные сети требуют этот вызов, пожалуйста, добавьте вызов этого события, чтобы избежать отказа от рекламной сети.","You are not using the Game Ended API: {1}.{0}. Some ad networks require this call, please add the event to avoid the ad being rejected."
CodeAnalysis_LP_MSBuild_Description,MSBuild completed with error: {0},Выполнение MSBuild завершилось с ошибкой: {0},MSBuild completed with error: {0}
,,,
Popup_PackageStatsError_Title,Package statistics gathering failed,Ошибка во время сбора статистики пакета,Package statistics gathering failed
Popup_PackageStatsError_Description,"Package statistics gathering failed. Please check the luna.log file, or review the documentation.","Ошибка во время сбора статистики пакета. Пожалуйста, проверьте luna.log файл или ознакомьтесь с документацией.","Package statistics gathering failed. Please check the luna.log file, or review the documentation."
Popup_PackageStatsError_Ok,Show Log,Показать логи,Show Log
Popup_PackageStatsError_Cancel,Cancel,Отмена,Cancel
Popup_PackageStatsError_Alt,Documentation,Документация,Documentation
,,,
MecanimSerializationException_BaseMessage,Mecanim (Avatar) serialization error! Unfortunately we can't serialize given asset. Probably mecanim (Avatar) serialization doesn't support current Unity version. Please exclude this asset or use compatible Unity version.,"Ошибка сериализации Mecanim (Avatar)! К сожалению, не получилось сериализовать данный ресурс. Возможно, сериализация не совместима с данной версией Unity. Пожалуйста, ислючите данный ресурс из экспортируемых или попробуйте использовать совместимую версию Unity.",Mecanim (Avatar) serialization error! Unfortunately we can't serialize given asset. Probably mecanim (Avatar) serialization doesn't support current Unity version. Please exclude this asset or use compatible Unity version.
,,,
ProjectDiagnostics_BrokenBuildWithNoErrors,"The build has failed, and the PHC feature did not capture any errors.\nPlease click the button to open the logs for more details","Сборка завершилась неудачно, и функция PHC не зафиксировала никаких ошибок.\nПожалуйста, нажмите кнопку, чтобы открыть логи для получения более подробной информации.","The build has failed, and the PHC feature did not capture any errors.\nPlease click the button to open the logs for more details"
ProjectDiagnostics_BrokenBuild_Show_Log_Button,Show Logs,Показать логи,Show Logs
,,,
LunaDevTab_UseLocalResources,Use Local Resources,Использовать Локальные Ресурсы,Use Local Resources
LunaDevTab_PhcCanBlockBuild,Phc Can Block Build,Phc Может Блокировать Сборку,Phc Can Block Build
LunaDevTab_UseShadersCache,Use Shaders Cache,Использовать Кэш Шейдеров,Use Shaders Cache
LunaDevTab_EnableSpector,Enable Spector,Включить Spectator,Enable Spector
LunaDevTab_EnableStartup,Enable Startup,Включить При Запуске,Enable Startup
LunaDevTab_EnableTrace,Enable Trace,Включить Трассировку,Enable Trace
LunaDevTab_UseLocalResources_Hint,LunaDevTab_UseLocalResources_Hint,LunaDevTab_UseLocalResources_Hint,LunaDevTab_UseLocalResources_Hint
LunaDevTab_PhcCanBlockBuild_Hint,LunaDevTab_PhcCanBlockBuild_Hint,LunaDevTab_PhcCanBlockBuild_Hint,LunaDevTab_PhcCanBlockBuild_Hint
LunaDevTab_UseShadersCache_Hint,LunaDevTab_UseShadersCache_Hint,LunaDevTab_UseShadersCache_Hint,LunaDevTab_UseShadersCache_Hint
LunaDevTab_EnableSpector_Hint,Enable Spector When Opening In Browser,LunaDevTab_EnableSpector_Hint,Enable Spector When Opening In Browser
LunaDevTab_EnableStartup_Hint,Enable Startup When Opening In Browser,LunaDevTab_EnableStartup_Hint,Enable Startup When Opening In Browser
LunaDevTab_EnableTrace_Hint,LunaDevTab_EnableTrace_Hint,LunaDevTab_EnableTrace_Hint,LunaDevTab_EnableTrace_Hint
LunaDevTab_ReloadLocalization,Reload Localization,Перезагрузить Локализацию,Reload Localization
LunaDevTab_ReloadConfigs,Reload Configs,Перезагрузить Конфиги,Reload Configs
LunaDevTab_ReloadAllResources,Reload All Resources,Перезагрузить Все Ресурсы,Reload All Resources
LunaDevTab_UpdateRemoteResources,Update Remote Resources,Обновить Удалённые Ресурсы,Update Remote Resources
LunaDevTab_CheckDocLinks,Check Doc Links,Проверить Ссылки на Документы,Check Doc Links
LunaDevTab_ReloadLocalization_Hint,LunaDevTab_ReloadLocalization_Hint,LunaDevTab_ReloadLocalization_Hint,LunaDevTab_ReloadLocalization_Hint
LunaDevTab_ReloadConfigs_Hint,LunaDevTab_ReloadConfigs_Hint,LunaDevTab_ReloadConfigs_Hint,LunaDevTab_ReloadConfigs_Hint
